UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG;Observação
AC;0,723519348;B;0,930212771;B;0,244914045;A;B;Dados em 15/09/2020
AL;1,155483236;B;0,895252483;A;0,569999974;A;B;Dados em 15/09/2020
AM;0,482457889;A;0,920257422;B;0,280419878;A;B;Dados em 15/09/2020
AP;0,694118859;B;0,80119863;A;;;Suspensa;Dados em 15/09/2020
BA;0,721675022;B;0,953910162;C;0,254088204;A;C;Dados em 15/09/2020
CE;0,713622482;B;0,914403937;B;0,18122673;A;B;Dados em 15/09/2020
DF;0,449727306;A;0,964665833;C;3,73813431;C;C;Dados em 15/09/2020
ES;0,445156586;A;0,839635356;A;0,0626405;A;A;Dados em 15/09/2020
GO;0,840513371;B;0,98063539;C;2,983387595;C;C;Dados em 15/09/2020
MA;0,511380214;A;0,966072123;C;3,294496994;C;C;Dados em 15/09/2020
MG;2,03995896;C;1,052019891;C;65,9875586;C;D;Dados em 15/09/2020
MS;0,751456066;B;0,967853309;C;1,18637126;C;C;Dados em 15/09/2020
MT;0,376596746;A;0,94510114;B;-7,099111643;C;C;Dados em 15/09/2020
PA;0,199859687;A;0,911410711;B;0,261370167;A;B;Dados em 15/09/2020
PB;0,438807263;A;0,920491078;B;0,432320317;A;B;Dados em 15/09/2020
PE;0,620109943;B;0,956342116;C;2,421189687;C;C;Dados em 15/09/2020
PI;0,595850945;A;0,978616396;C;3,477394063;C;C;Dados em 15/09/2020
PR;0,708463839;B;0,929604152;B;0,472571216;A;B;Dados em 15/09/2020
RJ;2,857906369;C;0,996032333;C;1,414477125;C;D;Dados em 15/09/2020
RN;0,350616212;A;0,962750511;C;2,973768163;C;C;Dados em 15/09/2020
RO;0,576429437;A;0,877571165;A;0,190982216;A;A;Dados em 15/09/2020
RR;0,440607586;A;0,845061082;A;1,608210671;C;C;Dados em 15/09/2020
RS;2,164246272;C;1,035396495;C;-1,899798004;C;D;Dados em 15/09/2020
SC;0,928009226;B;0,956441519;C;0,33979359;A;C;Dados em 15/09/2020
SE;0,606420337;B;0,984243503;C;0,697029721;A;C;Dados em 15/09/2020
SP;1,936864879;C;0,93897972;B;0,780816388;A;B;Dados em 15/09/2020
TO;0,676098816;B;0,958583475;C;5,775376192;C;C;Dados em 15/09/2020
